"user_id	item_id	time	neg_items"
"0	43	137	[183]"
"0	193	490	[130]"
"0	355	536	[343]"
"0	384	709	[54]"
"0	45	741	[195]"
"0	44	825	[15]"
"0	243	927	[84]"
"0	224	950	[235]"
"0	339	1067	[26]"
"0	385	1115	[231]"
"0	191	1257	[186]"
"0	72	1266	[332]"
"0	296	1327	[20]"
"0	285	1343	[13]"
"0	124	1905	[344]"
"0	371	2172	[258]"
"0	75	2177	[226]"
"0	302	2204	[48]"
"0	285	2265	[390]"
"0	331	3397	[157]"
"0	95	3557	[334]"
"0	45	3627	[68]"
"0	398	3978	[21]"
"0	371	3987	[115]"
"0	111	4474	[374]"
"0	106	4636	[274]"
"0	203	5313	[279]"
"0	399	5753	[199]"
"0	248	6709	[354]"
"0	305	6718	[250]"
"0	204	6761	[172]"
"1	46	19	[300]"
"1	5	73	[185]"
"1	22	218	[356]"
"1	17	281	[177]"
"1	149	542	[297]"
"1	154	1412	[21]"
"1	86	1812	[225]"
"1	66	1993	[239]"
"1	123	2132	[3]"
"1	25	2386	[326]"
"1	18	2472	[38]"
"1	298	2527	[54]"
"1	227	2584	[52]"
"1	372	2853	[170]"
"1	281	2907	[131]"
"1	111	3203	[325]"
"1	82	3486	[148]"
"1	66	3671	[174]"
"1	100	3690	[142]"
"1	226	3697	[6]"
"1	9	4217	[320]"
"1	155	4709	[41]"
"1	229	4794	[302]"
"1	53	4829	[207]"
"1	81	4955	[214]"
"1	394	5274	[262]"
"1	203	5338	[384]"
"1	101	5723	[398]"
"1	396	5939	[224]"
"1	223	6187	[122]"
"1	97	6794	[245]"
"1	49	7155	[168]"
"1	227	7585	[303]"
"1	15	7823	[153]"
"1	323	7958	[237]"
"2	236	187	[139]"
"2	101	249	[140]"
"2	165	745	[298]"
"2	192	815	[99]"
"2	209	842	[250]"
"2	65	969	[163]"
"2	88	1077	[183]"
"2	94	1650	[241]"
"2	58	1700	[153]"
"2	150	1719	[116]"
"2	80	2042	[93]"
"2	255	2329	[385]"
"2	114	2522	[296]"
"2	203	2554	[290]"
"2	24	2922	[109]"
"2	58	2943	[62]"
"2	355	3002	[156]"
"2	169	3065	[84]"
"2	343	3293	[387]"
"2	191	3685	[198]"
"2	370	4004	[354]"
"2	41	4190	[293]"
"2	247	4354	[330]"
"2	10	4569	[361]"
"2	26	4651	[31]"
"2	34	4984	[108]"
"2	92	5198	[244]"
"2	313	5380	[299]"
"2	275	6076	[319]"
"2	338	6145	[316]"
"2	255	6800	[306]"
"2	209	7082	[43]"
"3	162	77	[153]"
"3	295	357	[366]"
"3	167	538	[163]"
"3	252	828	[165]"
"3	130	1023	[23]"
"3	192	1041	[290]"
"3	213	1447	[309]"
"3	140	1613	[270]"
"3	259	1687	[357]"
"3	3	1874	[305]"
"3	364	2093	[396]"
"3	96	2697	[255]"
"3	374	2698	[318]"
"3	326	2992	[357]"
"3	92	3000	[237]"
"3	105	3048	[111]"
"3	335	3091	[178]"
"3	214	3307	[209]"
"3	271	3326	[379]"
"3	7	3403	[249]"
"3	252	3546	[165]"
"3	72	3793	[198]"
"3	182	3921	[166]"
"3	385	3998	[381]"
"3	132	4076	[269]"
"3	313	4286	[338]"
"3	368	4389	[330]"
"3	276	4542	[224]"
"3	1	4975	[345]"
"3	95	5442	[128]"
"3	244	5568	[316]"
"3	84	6109	[384]"
"3	240	6350	[9]"
"3	323	6366	[298]"
"3	245	6573	[39]"
"3	31	6656	[81]"
"4	373	117	[384]"
"4	127	138	[71]"
"4	326	454	[119]"
"4	64	672	[311]"
"4	18	788	[289]"
"4	302	920	[344]"
"4	13	1082	[332]"
"4	62	1130	[126]"
"4	36	1188	[297]"
"4	380	1203	[191]"
"4	248	1423	[85]"
"4	66	1703	[316]"
"4	292	1704	[329]"
"4	43	1744	[358]"
"4	345	2152	[171]"
"4	233	2244	[7]"
"4	323	2510	[169]"
"4	342	2562	[223]"
"4	65	2675	[59]"
"4	368	2819	[180]"
"4	296	2820	[60]"
"4	308	2942	[198]"
"4	365	3087	[231]"
"4	264	3202	[286]"
"4	53	3873	[262]"
"4	273	3890	[209]"
"4	102	4331	[330]"
"4	366	4736	[85]"
"4	10	5043	[223]"
"4	333	5323	[227]"
"4	123	5862	[258]"
"4	259	5927	[267]"
"5	225	366	[298]"
"5	132	457	[196]"
"5	95	810	[290]"
"5	101	889	[103]"
"5	218	1006	[11]"
"5	208	1038	[153]"
"5	130	1702	[397]"
"5	224	1775	[217]"
"5	191	1900	[34]"
"5	257	2019	[2]"
"5	94	2111	[88]"
"5	201	2594	[345]"
"5	207	3258	[15]"
"5	274	3561	[97]"
"5	165	3566	[144]"
"5	25	3801	[285]"
"5	54	4355	[189]"
"5	318	4648	[206]"
"5	3	4777	[255]"
"5	59	4867	[70]"
"5	355	5036	[119]"
"5	279	5179	[178]"
"5	201	5671	[6]"
"5	377	5804	[33]"
"5	167	5995	[254]"
"5	319	6008	[286]"
"5	299	6112	[173]"
"5	277	6120	[320]"
"5	350	6198	[23]"
"5	289	6860	[199]"
"6	152	275	[203]"
"6	33	662	[238]"
"6	338	968	[181]"
"6	248	1398	[280]"
"6	373	1400	[43]"
"6	121	1584	[390]"
"6	293	1796	[25]"
"6	195	1861	[202]"
"6	124	2034	[109]"
"6	399	2393	[314]"
"6	357	2411	[30]"
"6	28	2475	[0]"
"6	20	2614	[275]"
"6	291	2693	[258]"
"6	73	2715	[270]"
"6	180	3141	[322]"
"6	79	3289	[198]"
"6	174	3753	[117]"
"6	86	4187	[31]"
"6	140	4260	[334]"
"6	263	4715	[65]"
"6	180	4854	[190]"
"6	379	5127	[112]"
"6	70	5495	[150]"
"6	254	6214	[346]"
"6	372	6629	[368]"
"6	380	6659	[216]"
"6	11	6697	[320]"
"6	182	7235	[383]"
"6	136	7248	[283]"
"7	78	65	[381]"
"7	333	344	[235]"
"7	310	421	[331]"
"7	359	450	[322]"
"7	187	574	[229]"
"7	353	756	[208]"
"7	65	902	[122]"
"7	300	951	[362]"
"7	360	999	[0]"
"7	108	1355	[314]"
"7	109	1371	[273]"
"7	233	1382	[303]"
"7	246	1557	[141]"
"7	4	1926	[61]"
"7	170	2025	[71]"
"7	26	2125	[34]"
"7	297	2175	[117]"
"7	252	2237	[143]"
"7	378	2240	[8]"
"7	54	2515	[349]"
"7	296	2533	[321]"
"7	137	2779	[116]"
"7	366	2795	[358]"
"7	221	2823	[234]"
"7	238	3272	[276]"
"7	14	3300	[199]"
"7	81	3485	[348]"
"7	180	3518	[386]"
"7	155	3643	[185]"
"7	103	3871	[107]"
"7	344	3967	[90]"
"7	12	4078	[178]"
"7	378	4099	[75]"
"7	50	4186	[230]"
"7	267	4272	[259]"
"7	16	4357	[66]"
"7	216	4402	[271]"
"7	292	4405	[138]"
"7	365	4937	[59]"
"7	127	5261	[251]"
"7	317	5339	[376]"
"7	360	5484	[45]"
"8	391	55	[47]"
"8	277	105	[197]"
"8	51	288	[107]"
"8	61	626	[190]"
"8	316	658	[285]"
"8	288	1096	[9]"
"8	138	1441	[37]"
"8	188	1708	[27]"
"8	368	1741	[240]"
"8	335	1949	[101]"
"8	200	2018	[160]"
"8	383	2328	[132]"
"8	335	2427	[137]"
"8	346	3344	[145]"
"8	1	3472	[278]"
"8	161	3604	[197]"
"8	86	3994	[375]"
"8	136	4444	[347]"
"8	236	4609	[218]"
"8	234	5240	[249]"
"8	15	5603	[354]"
"8	203	5757	[306]"
"8	91	6295	[293]"
"8	229	6836	[5]"
"8	352	6883	[143]"
"8	342	7139	[101]"
"8	34	7169	[313]"
"8	35	7417	[69]"
"8	189	7490	[216]"
"9	392	527	[101]"
"9	153	784	[187]"
"9	176	1081	[210]"
"9	157	1187	[98]"
"9	282	1361	[232]"
"9	282	1573	[296]"
"9	336	1642	[22]"
"9	269	2162	[285]"
"9	119	2168	[259]"
"9	91	2429	[387]"
"9	25	2626	[13]"
"9	318	2677	[59]"
"9	132	2773	[15]"
"9	191	2848	[182]"
"9	286	2864	[56]"
"9	113	2950	[199]"
"9	265	3678	[376]"
"9	39	4059	[348]"
"9	33	4443	[200]"
"9	381	4481	[321]"
"9	173	4611	[321]"
"9	368	4790	[27]"
"9	212	4821	[338]"
"9	303	4835	[133]"
"9	77	5586	[298]"
"9	295	5859	[43]"
"9	267	6177	[348]"
"9	67	6393	[288]"
"9	282	6418	[76]"
"9	73	6856	[257]"
"9	248	6897	[359]"
"9	215	7128	[268]"
"9	319	7250	[276]"
"10	325	268	[135]"
"10	216	795	[67]"
"10	397	1123	[388]"
"10	89	1220	[232]"
"10	222	1255	[162]"
"10	206	1417	[320]"
"10	48	1501	[3]"
"10	130	1503	[287]"
"10	324	1681	[182]"
"10	87	1730	[27]"
"10	344	1969	[244]"
"10	168	1975	[235]"
"10	249	2321	[387]"
"10	196	2466	[162]"
"10	353	2681	[169]"
"10	9	2863	[67]"
"10	127	3269	[239]"
"10	258	3502	[1]"
"10	9	3620	[366]"
"10	308	3883	[310]"
"10	131	4146	[322]"
